scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bull,0.25,24.79528338212972,-0.22953817743931793,,24.79528338212972,-0.7285088866513771,0.20380154536677267,0.025,valid,True,IBKR,bank,91.33,
bear,0.25,474.55404840237003,-0.1388439470327153,,474.55404840237003,-0.5264026183086465,,0.025,valid,True,EQIX,reit,1002.02,0.039999999999999994
base,0.5,773.308882881384,-0.05049922888182967,,773.308882881384,-0.22825005201354864,,0.025,valid,True,EQIX,reit,1002.02,0.06
bull,0.25,773.308882881384,-0.05049922888182967,,773.308882881384,-0.22825005201354864,,0.025,valid,True,EQIX,reit,1002.02,0.06
bear,0.25,8.117853535407745,-0.14589364871786636,,8.117853535407745,-0.5454729263489504,0.05930520130488064,0.025,valid,True,HBAN,bank,17.86,
base,0.5,17.340137179710677,-0.005890521039476737,,17.340137179710677,-0.029107660710488426,0.09827760891590678,0.025,valid,True,HBAN,bank,17.86,
bull,0.25,23.074014381361813,0.05256358501506919,,23.074014381361813,0.29193809526101977,0.12250837518954688,0.025,valid,True,HBAN,bank,17.86,
bear,0.25,73.09173121158705,-0.1756724147132006,,73.09173121158705,-0.6193733728501429,0.06058038314226748,0.025,valid,True,CINF,insurance,192.03,
base,0.5,261.58922199364156,0.06377591412832628,,261.58922199364156,0.36223101595397367,0.15233922962473137,0.025,valid,True,CINF,insurance,192.03,
bull,0.25,403.14481512865945,0.15989426031842857,,403.14481512865945,1.0993845499591703,0.22124719166348555,0.025,valid,True,CINF,insurance,192.03,
bear,0.25,29.88863301481422,0.05061557202094158,,29.88863301481422,0.28002710984215073,,0.025,valid,True,HST,reit,23.35,0.039999999999999994
base,0.5,45.23355474328236,0.14139184889995593,,45.23355474328236,0.9371972052797584,,0.025,valid,True,HST,reit,23.35,0.06
bull,0.25,45.23355474328236,0.14139184889995593,,45.23355474328236,0.9371972052797584,,0.025,valid,True,HST,reit,23.35,0.06
bear,0.25,80.57730383516125,-0.0009471882967012624,,80.57730383516125,-0.004726978320636732,,0.025,valid,True,REG,reit,80.96,0.039999999999999994
base,0.5,144.10940878211534,0.12223644225984387,,144.10940878211534,0.7800075195419387,,0.025,valid,True,REG,reit,80.96,0.06
bull,0.25,144.10940878211534,0.12223644225984387,,144.10940878211534,0.7800075195419387,,0.025,valid,True,REG,reit,80.96,0.06
bear,0.25,124.97366969558325,-0.13578867838894182,,124.97366969558325,-0.5179414862272584,0.1544759205408638,0.025,valid,True,ERIE,insurance,259.25,
base,0.5,212.3112322605939,-0.039160516309119986,,212.3112322605939,-0.18105599899481617,0.24495987078770276,0.025,valid,True,ERIE,insurance,259.25,
bull,0.25,264.18250829223336,0.003776580671783325,,264.18250829223336,0.01902606862963685,0.29869984041638625,0.025,valid,True,ERIE,insurance,259.25,
