ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
FDX,FedEx Corporation,NYSE,common_stock,False,1978-04-12,Industrials,Integrated Freight & Logistics,US,238606756.0,1.299,74683914628.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,313.0,2026-07-02,74683914628.0,687869792.1634375,True
NSC,Norfolk Southern Corporation,NYSE,common_stock,False,1982-06-02,Industrials,Railroads,US,224594001.00089866,1.272,72478730063.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,322.71,2026-07-02,72478730063.0,385177659.589375,True
KMI,"Kinder Morgan, Inc.",NYSE,common_stock,False,2011-02-11,Energy,Oil & Gas Midstream,US,2224825756.9868994,0.539,71327913769.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,32.06,2026-07-02,71327913769.0,354326316.7540625,True
PSX,Phillips 66,NYSE,common_stock,False,2012-04-12,Energy,Oil & Gas Refining & Marketing,US,400935019.9977327,0.674,70732956228.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,176.42,2026-07-02,70732956228.0,450384458.918125,True
MSI,"Motorola Solutions, Inc.",NYSE,common_stock,False,1980-03-17,Technology,Communication Equipment,US,165996000.0,0.89,70159869360.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,422.66,2026-07-02,70159869360.0,470830505.8821875,True
EOG,"EOG Resources, Inc.",NYSE,common_stock,False,1989-10-04,Energy,Oil & Gas Exploration & Production,US,532629000.0,0.256,69657220620.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,130.78,2026-07-02,69657220620.0,512767336.4384375,True
URI,"United Rentals, Inc.",NYSE,common_stock,False,1997-12-18,Industrials,Rental & Leasing Services,US,62646600.00000001,1.82,68822928294.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,1098.59,2026-07-02,68822928294.0,526660767.7409375,True
GM,General Motors Company,NYSE,common_stock,False,2010-11-18,Consumer Cyclical,Auto - Manufacturers,US,901665195.0,1.3,68526554820.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,76.0,2026-07-02,68526554820.0,590428931.941875,True
SLB,Slb N.V.,NYSE,common_stock,False,1981-12-31,Energy,Oil & Gas Equipment & Services,US,1495060000.0,0.708,67472057800.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,45.13,2026-07-02,67472057800.00001,753880685.2434375,True
BSX,Boston Scientific Corporation,NYSE,common_stock,False,1992-05-19,Healthcare,Medical - Devices,US,1486355178.9986708,0.559,67094072780.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,45.14,2026-07-02,67094072780.0,1094655375.5121875,True
